361,2007,MISSOURI,CORN,ACRES PLANTED,3450000
362,2006,MISSOURI,CORN,ACRES PLANTED,2700000
363,2005,MISSOURI,CORN,ACRES PLANTED,3100000
364,2004,MISSOURI,CORN,ACRES PLANTED,2950000
365,2003,MISSOURI,CORN,ACRES PLANTED,2900000
366,2002,MISSOURI,CORN,ACRES PLANTED,2800000
367,2001,MISSOURI,CORN,ACRES PLANTED,2700000
368,2000,MISSOURI,CORN,ACRES PLANTED,2850000
369,2015,MONTANA,CORN,ACRES PLANTED,105000
370,2014,MONTANA,CORN,ACRES PLANTED,130000
371,2013,MONTANA,CORN,ACRES PLANTED,120000
372,2012,MONTANA,CORN,ACRES PLANTED,105000
373,2011,MONTANA,CORN,ACRES PLANTED,77000
374,2010,MONTANA,CORN,ACRES PLANTED,80000
375,2009,MONTANA,CORN,ACRES PLANTED,72000
376,2008,MONTANA,CORN,ACRES PLANTED,78000
377,2007,MONTANA,CORN,ACRES PLANTED,84000
378,2006,MONTANA,CORN,ACRES PLANTED,65000
379,2005,MONTANA,CORN,ACRES PLANTED,65000
380,2004,MONTANA,CORN,ACRES PLANTED,70000
381,2003,MONTANA,CORN,ACRES PLANTED,68000
382,2002,MONTANA,CORN,ACRES PLANTED,65000
383,2001,MONTANA,CORN,ACRES PLANTED,65000
384,2000,MONTANA,CORN,ACRES PLANTED,60000
385,2015,NEBRASKA,CORN,ACRES PLANTED,9400000
386,2014,NEBRASKA,CORN,ACRES PLANTED,9300000
387,2013,NEBRASKA,CORN,ACRES PLANTED,9950000
388,2012,NEBRASKA,CORN,ACRES PLANTED,10000000
389,2011,NEBRASKA,CORN,ACRES PLANTED,9850000
390,2010,NEBRASKA,CORN,ACRES PLANTED,9150000
391,2009,NEBRASKA,CORN,ACRES PLANTED,9150000
392,2008,NEBRASKA,CORN,ACRES PLANTED,8800000
393,2007,NEBRASKA,CORN,ACRES PLANTED,9400000
394,2006,NEBRASKA,CORN,ACRES PLANTED,8100000
395,2005,NEBRASKA,CORN,ACRES PLANTED,8500000
396,2004,NEBRASKA,CORN,ACRES PLANTED,8250000
397,2003,NEBRASKA,CORN,ACRES PLANTED,8100000
398,2002,NEBRASKA,CORN,ACRES PLANTED,8400000
399,2001,NEBRASKA,CORN,ACRES PLANTED,8100000
400,2000,NEBRASKA,CORN,ACRES PLANTED,8500000
401,2015,NEVADA,CORN,ACRES PLANTED,2000
402,2014,NEVADA,CORN,ACRES PLANTED,4000
403,2013,NEVADA,CORN,ACRES PLANTED,7000
404,2012,NEVADA,CORN,ACRES PLANTED,8000
405,2011,NEVADA,CORN,ACRES PLANTED,8000
406,2010,NEVADA,CORN,ACRES PLANTED,4000
407,2009,NEVADA,CORN,ACRES PLANTED,4000
408,2008,NEVADA,CORN,ACRES PLANTED,5000
